4 4 4
0 0 0 13017
0 0 1 13017
0 0 2 13017
0 0 3 13017
0 0 4 52
0 1 1 52
0 1 2 52
0 1 3 52
0 1 4 52
0 2 1 52
0 2 2 52
0 2 3 52
0 2 4 52
0 3 1 52
0 3 2 52
0 3 3 52
0 3 4 52
1 0 1 52
1 0 2 52
1 0 3 52
1 0 4 52
1 1 1 52
1 1 2 52
1 1 3 52
1 1 4 52
1 2 1 52
1 2 2 52
1 2 3 52
1 2 4 52
1 3 1 52
1 3 2 52
1 3 3 52
1 3 4 52
2 0 1 52
2 0 2 52
2 0 3 52
2 0 4 52
2 1 1 52
2 1 2 52
2 1 3 52
2 1 4 52
2 2 1 52
2 2 2 52
2 2 3 52
2 2 4 52
2 3 1 52
2 3 2 52
2 3 3 52
2 3 4 52
3 0 1 52
3 0 2 52
3 0 3 52
3 0 4 52
3 1 1 52
3 1 2 52
3 1 3 52
3 1 4 52
3 2 1 52
3 2 2 52
3 2 3 52
3 2 4 52
3 3 1 52
3 3 2 52
3 3 3 52
3 3 4 52
